#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,Year,YearDate
170,Ervin Santana,KCR,34.6%,69.3%,47.9%,60.4%,90.1%,76.8%,38.3%,59.6%,11.1%,15.2%,26.3%,2021.0,2021-01-01
171,Erik Swanson,SEA,34.6%,78.3%,53.9%,64.2%,80.5%,74.7%,44.1%,56.9%,13.7%,11.9%,25.5%,2021.0,2021-01-01
172,Paul Sewald,SEA,34.6%,67.9%,49.8%,50.2%,76.7%,66.7%,45.7%,58.7%,16.6%,17.3%,33.9%,2021.0,2021-01-01
173,Carlos Carrasco,NYM,34.5%,74.2%,51.0%,61.7%,85.0%,75.7%,41.4%,64.6%,12.4%,14.1%,26.4%,2021.0,2021-01-01
174,Matt Shoemaker,MIN,34.5%,70.7%,49.2%,67.1%,87.5%,79.0%,40.4%,64.1%,10.3%,14.8%,25.1%,2021.0,2021-01-01
175,Dauri Moreta,CIN,34.5%,82.1%,57.9%,50.0%,100.0%,84.8%,49.1%,64.3%,8.8%,10.5%,19.3%,2021.0,2021-01-01
176,Hoby Milner,MIL,34.5%,59.9%,46.6%,57.7%,90.2%,77.6%,47.6%,71.7%,10.4%,21.4%,31.8%,2021.0,2021-01-01
177,Alex Colome,MIN,34.4%,73.2%,48.9%,59.2%,86.4%,74.4%,37.3%,54.8%,12.5%,14.9%,27.4%,2021.0,2021-01-01
178,Patrick Corbin,WSN,34.4%,67.7%,47.5%,59.8%,89.5%,76.4%,39.3%,66.0%,11.2%,15.3%,26.5%,2021.0,2021-01-01
179,Collin McHugh,TBR,34.4%,64.2%,48.3%,55.3%,81.0%,71.2%,46.5%,63.6%,13.9%,19.9%,33.7%,2021.0,2021-01-01
180,Marcus Stroman,NYM,34.4%,67.6%,48.3%,60.3%,87.0%,75.9%,41.8%,62.1%,11.6%,16.8%,28.5%,2021.0,2021-01-01
181,Deolis Guerra,OAK,34.4%,71.2%,48.1%,61.3%,85.0%,74.3%,37.1%,56.1%,12.3%,14.7%,27.1%,2021.0,2021-01-01
182,Zach Thompson,MIA,34.4%,69.1%,48.1%,61.4%,86.5%,75.6%,39.4%,60.6%,11.7%,15.4%,27.1%,2021.0,2021-01-01
183,Jeffrey Springs,TBR,34.4%,64.6%,46.2%,51.6%,77.9%,66.0%,39.1%,63.7%,15.7%,17.4%,33.2%,2021.0,2021-01-01
184,David Bednar,PIT,34.3%,74.9%,53.5%,52.7%,80.1%,70.8%,47.3%,66.7%,15.6%,15.2%,30.8%,2021.0,2021-01-01
185,Drew Smith,NYM,34.3%,72.4%,51.3%,56.0%,83.8%,73.5%,44.6%,66.1%,13.6%,14.9%,28.5%,2021.0,2021-01-01
186,Nick Mears,PIT,34.3%,68.0%,47.8%,69.9%,82.1%,76.9%,40.0%,57.9%,11.1%,15.3%,26.3%,2021.0,2021-01-01
187,Phil Maton,- - -,34.3%,69.4%,49.1%,52.6%,76.5%,66.9%,42.3%,61.3%,16.3%,15.4%,31.7%,2021.0,2021-01-01
188,Carlos Rodon,CHW,34.3%,71.5%,50.5%,54.8%,80.0%,70.3%,43.5%,58.6%,15.0%,15.4%,30.3%,2021.0,2021-01-01
189,Trevor Richards,- - -,34.3%,69.6%,46.7%,59.3%,79.9%,70.1%,35.1%,57.4%,13.9%,14.5%,28.5%,2021.0,2021-01-01
190,Triston McKenzie,CLE,34.2%,70.1%,48.3%,58.0%,86.1%,74.0%,39.1%,63.0%,12.6%,14.7%,27.2%,2021.0,2021-01-01
191,A.J. Minter,ATL,34.2%,67.2%,49.0%,53.9%,81.4%,70.9%,44.9%,63.8%,14.3%,16.4%,30.7%,2021.0,2021-01-01
192,Joel Payamps,- - -,34.2%,69.4%,48.7%,74.1%,82.6%,79.1%,41.2%,57.1%,10.2%,15.4%,25.5%,2021.0,2021-01-01
193,Josh Sborz,TEX,34.2%,72.2%,48.6%,50.0%,84.7%,69.5%,37.7%,58.4%,14.8%,13.3%,28.1%,2021.0,2021-01-01
194,Dinelson Lamet,SDP,34.2%,70.3%,49.2%,47.3%,83.5%,68.7%,41.3%,62.2%,15.4%,15.5%,30.9%,2021.0,2021-01-01
195,Hunter Harvey,BAL,34.2%,66.7%,48.9%,76.9%,95.2%,88.2%,45.3%,58.3%,5.8%,18.0%,23.7%,2021.0,2021-01-01
196,Javy Guerra,SDP,34.2%,82.1%,54.5%,76.9%,91.3%,86.1%,42.4%,55.6%,7.6%,6.1%,13.6%,2021.0,2021-01-01
197,Aaron Nola,PHI,34.1%,68.1%,48.8%,61.6%,81.8%,73.8%,43.2%,66.6%,12.8%,18.4%,31.2%,2021.0,2021-01-01
198,Trevor May,NYM,34.1%,73.2%,50.9%,56.0%,78.0%,69.5%,42.8%,59.0%,15.5%,14.2%,29.7%,2021.0,2021-01-01
199,Robbie Ray,TOR,34.1%,74.5%,51.8%,51.7%,80.8%,70.0%,43.8%,61.6%,15.5%,14.1%,29.6%,2021.0,2021-01-01
200,Evan Marshall,CHW,34.1%,67.9%,47.1%,67.0%,87.7%,78.5%,38.6%,54.9%,10.1%,15.2%,25.3%,2021.0,2021-01-01
201,Joe Ryan,MIN,34.1%,75.1%,52.9%,68.4%,82.4%,77.5%,45.9%,65.0%,11.9%,17.5%,29.4%,2021.0,2021-01-01
202,Corey Kluber,NYY,34.1%,66.3%,46.9%,56.7%,86.4%,73.4%,39.7%,64.5%,12.5%,16.7%,29.2%,2021.0,2021-01-01
203,Janson Junk,LAA,34.1%,67.9%,49.4%,69.6%,90.8%,82.8%,45.3%,64.8%,8.5%,17.0%,25.5%,2021.0,2021-01-01
204,Craig Stammen,SDP,34.1%,64.9%,46.6%,61.9%,89.5%,77.5%,40.5%,64.5%,10.5%,18.3%,28.7%,2021.0,2021-01-01
205,Chasen Shreve,PIT,34.1%,72.2%,47.6%,65.4%,86.3%,76.7%,35.7%,63.4%,11.1%,13.7%,24.8%,2021.0,2021-01-01
206,Anthony Castro,TOR,34.1%,60.8%,44.4%,61.1%,86.0%,74.3%,38.7%,52.3%,11.4%,17.8%,29.2%,2021.0,2021-01-01
207,Sam Coonrod,PHI,34.0%,69.9%,49.6%,68.6%,82.4%,77.1%,43.4%,63.2%,11.4%,15.9%,27.2%,2021.0,2021-01-01
208,Jose Berrios,- - -,34.0%,64.7%,46.8%,69.2%,86.1%,78.9%,41.7%,64.5%,9.9%,19.2%,29.0%,2021.0,2021-01-01
209,Joe Musgrove,SDP,34.0%,63.0%,46.4%,55.8%,84.8%,72.6%,42.7%,60.8%,12.7%,18.8%,31.4%,2021.0,2021-01-01
210,Alex Young,- - -,33.9%,70.3%,48.7%,59.8%,84.2%,74.1%,40.6%,55.7%,12.6%,14.4%,27.0%,2021.0,2021-01-01
211,Kervin Castro,SFG,33.9%,66.3%,48.8%,54.1%,77.0%,68.4%,45.8%,50.0%,15.4%,17.4%,32.8%,2021.0,2021-01-01
212,T.J. Zeuch,TOR,33.9%,66.9%,47.9%,80.4%,87.7%,84.7%,42.3%,70.3%,7.3%,15.4%,22.7%,2021.0,2021-01-01
213,Huascar Ynoa,ATL,33.9%,65.7%,47.1%,50.7%,87.6%,72.1%,41.5%,58.9%,13.2%,17.4%,30.6%,2021.0,2021-01-01
214,Patrick Sandoval,LAA,33.9%,66.5%,46.4%,52.8%,79.1%,67.3%,38.5%,57.9%,15.2%,15.9%,31.0%,2021.0,2021-01-01
215,Luis Castillo,CIN,33.9%,71.8%,48.9%,60.6%,82.2%,73.2%,39.6%,59.5%,13.1%,14.5%,27.6%,2021.0,2021-01-01
216,A.J. Cole,TOR,33.9%,69.2%,50.0%,66.7%,80.6%,75.4%,45.6%,53.3%,12.3%,13.2%,25.4%,2021.0,2021-01-01
217,Brooks Raley,HOU,33.9%,65.5%,47.0%,56.1%,78.7%,69.2%,41.6%,64.4%,14.5%,16.0%,30.4%,2021.0,2021-01-01
218,Heath Hembree,- - -,33.8%,69.2%,48.2%,62.1%,83.0%,74.3%,40.6%,63.8%,12.4%,16.3%,28.7%,2021.0,2021-01-01
219,Nathan Eovaldi,BOS,33.8%,71.0%,51.5%,59.5%,84.0%,75.6%,47.6%,65.3%,12.6%,17.3%,29.9%,2021.0,2021-01-01
220,Kirby Snead,TOR,33.8%,62.8%,45.0%,65.2%,88.9%,78.0%,38.7%,73.3%,9.9%,21.6%,31.5%,2021.0,2021-01-01
221,Michael Lorenzen,CIN,33.8%,69.7%,47.8%,59.6%,85.5%,74.3%,39.1%,73.6%,12.3%,15.2%,27.4%,2021.0,2021-01-01
222,Connor Brogdon,PHI,33.8%,77.5%,52.5%,69.7%,77.5%,74.6%,42.9%,61.3%,13.3%,11.6%,24.9%,2021.0,2021-01-01
223,Mike Minor,KCR,33.7%,69.4%,48.4%,66.5%,85.8%,77.9%,41.2%,61.1%,10.7%,16.1%,26.8%,2021.0,2021-01-01
224,Eli Morgan,CLE,33.7%,72.0%,50.2%,66.4%,86.6%,78.9%,43.1%,67.5%,10.6%,15.9%,26.5%,2021.0,2021-01-01
225,Jameson Taillon,NYY,33.7%,72.8%,50.6%,63.2%,83.5%,75.8%,43.2%,62.7%,12.2%,14.8%,27.0%,2021.0,2021-01-01
226,Max Scherzer,- - -,33.7%,72.0%,50.3%,51.6%,78.7%,68.5%,43.5%,64.1%,15.9%,15.7%,31.6%,2021.0,2021-01-01
227,Eduardo Rodriguez,BOS,33.7%,70.4%,48.5%,65.1%,83.6%,76.0%,40.5%,63.6%,11.7%,16.4%,28.1%,2021.0,2021-01-01
228,Kyle McGowin,WSN,33.7%,62.7%,45.8%,60.4%,83.8%,73.8%,42.0%,60.2%,12.0%,17.0%,29.0%,2021.0,2021-01-01
229,Trevor Rogers,MIA,33.7%,69.1%,49.0%,56.6%,80.7%,71.3%,43.2%,56.9%,14.1%,16.4%,30.4%,2021.0,2021-01-01
230,Hirokazu Sawamura,BOS,33.7%,73.0%,46.9%,50.2%,81.0%,66.4%,33.7%,48.5%,15.8%,11.7%,27.5%,2021.0,2021-01-01
231,Yusmeiro Petit,OAK,33.7%,76.7%,51.6%,77.4%,82.1%,80.3%,41.7%,62.3%,10.2%,14.3%,24.5%,2021.0,2021-01-01
232,Sean Doolittle,- - -,33.6%,77.5%,53.6%,70.9%,80.7%,77.4%,45.7%,64.6%,12.1%,13.5%,25.6%,2021.0,2021-01-01
233,Nabil Crismatt,SDP,33.6%,67.1%,46.4%,61.0%,85.8%,74.7%,38.4%,54.1%,11.7%,16.5%,28.2%,2021.0,2021-01-01
234,Reymin Guduan,OAK,33.6%,66.4%,48.9%,61.0%,95.8%,83.0%,46.7%,58.5%,8.3%,17.9%,26.2%,2021.0,2021-01-01
235,Brusdar Graterol,LAD,33.6%,67.3%,51.1%,67.9%,91.3%,83.9%,52.1%,64.0%,8.2%,17.8%,26.1%,2021.0,2021-01-01
236,Adam Morgan,CHC,33.6%,59.9%,44.4%,47.1%,85.3%,68.4%,41.3%,59.3%,14.0%,19.2%,33.3%,2021.0,2021-01-01
237,Joe Barlow,TEX,33.6%,73.6%,49.2%,65.6%,83.2%,75.9%,39.1%,57.7%,11.9%,15.8%,27.7%,2021.0,2021-01-01
238,Luke Jackson,ATL,33.5%,68.8%,47.6%,55.9%,85.5%,72.9%,39.8%,55.9%,12.9%,14.4%,27.3%,2021.0,2021-01-01
239,T.J. McFarland,STL,33.5%,73.6%,48.6%,72.0%,93.0%,83.9%,37.7%,52.1%,7.8%,13.5%,21.3%,2021.0,2021-01-01
240,Casey Sadler,SEA,33.5%,60.0%,44.2%,62.1%,90.1%,77.4%,40.4%,56.6%,10.0%,21.0%,31.0%,2021.0,2021-01-01
241,Joe Smith,- - -,33.5%,69.1%,49.8%,66.9%,90.8%,82.1%,45.8%,65.3%,8.9%,18.3%,27.2%,2021.0,2021-01-01
242,Miles Mikolas,STL,33.5%,67.3%,48.7%,73.3%,90.7%,84.1%,44.9%,67.7%,7.8%,19.0%,26.8%,2021.0,2021-01-01
243,Luke Weaver,ARI,33.5%,74.0%,50.8%,69.0%,83.1%,77.8%,42.7%,63.6%,11.3%,16.0%,27.2%,2021.0,2021-01-01
244,Zack Britton,NYY,33.5%,66.0%,43.2%,69.6%,89.4%,78.6%,29.8%,52.4%,9.2%,13.9%,23.1%,2021.0,2021-01-01
245,Mike Mayers,LAA,33.4%,69.6%,47.9%,62.9%,80.2%,73.0%,40.0%,60.3%,12.9%,16.3%,29.2%,2021.0,2021-01-01
246,Zach Eflin,PHI,33.4%,69.9%,49.4%,68.6%,85.9%,79.3%,43.8%,66.1%,10.2%,18.1%,28.3%,2021.0,2021-01-01
247,Jordan Romano,TOR,33.4%,70.9%,49.6%,54.6%,81.0%,70.8%,43.1%,66.8%,14.5%,15.4%,29.9%,2021.0,2021-01-01
248,Andrew Romine,CHC,33.3%,50.0%,40.0%,66.7%,66.7%,66.7%,40.0%,20.0%,13.3%,26.7%,40.0%,2021.0,2021-01-01
249,AJ Ramos,LAA,33.3%,69.6%,46.8%,61.5%,81.3%,72.4%,37.1%,56.3%,12.9%,14.5%,27.4%,2021.0,2021-01-01
250,John Axford,MIL,33.3%,71.4%,45.5%,80.0%,100.0%,90.0%,31.8%,80.0%,4.5%,13.6%,18.2%,2021.0,2021-01-01
251,Darin Ruf,SFG,33.3%,75.0%,57.1%,66.7%,100.0%,91.7%,57.1%,66.7%,4.8%,9.5%,14.3%,2021.0,2021-01-01
252,Ian Krol,DET,33.3%,70.2%,48.3%,66.7%,86.9%,78.6%,40.5%,54.7%,10.3%,14.0%,24.4%,2021.0,2021-01-01
253,Scott Alexander,LAD,33.3%,63.2%,45.6%,78.4%,80.6%,79.7%,40.9%,58.2%,9.3%,16.2%,25.5%,2021.0,2021-01-01
254,Adam Eaton,LAA,33.3%,66.7%,47.6%,100.0%,83.3%,90.0%,42.9%,60.0%,4.8%,14.3%,19.0%,2021.0,2021-01-01
255,Robel Garcia,HOU,33.3%,64.3%,48.3%,100.0%,100.0%,100.0%,48.3%,37.5%,0.0%,13.8%,13.8%,2021.0,2021-01-01
256,Anthony Bemboom,LAA,33.3%,66.7%,47.6%,100.0%,100.0%,100.0%,42.9%,42.9%,0.0%,19.0%,19.0%,2021.0,2021-01-01
257,Andrew Knapp,PHI,33.3%,100.0%,50.0%,100.0%,100.0%,100.0%,25.0%, ,0.0%,0.0%,0.0%,2021.0,2021-01-01
258,Jack Mayfield,SEA,33.3%, ,33.3%,100.0%, ,100.0%, ,100.0%,0.0%,33.3%,33.3%,2021.0,2021-01-01
259,Jake Reed,- - -,33.3%,61.6%,46.3%,72.4%,75.6%,74.3%,45.6%,58.1%,11.9%,21.3%,33.1%,2021.0,2021-01-01
260,Alex Blandino,CIN,33.3%,63.0%,44.4%,80.0%,94.1%,87.5%,37.5%,61.1%,5.6%,15.3%,20.8%,2021.0,2021-01-01
261,Daniel Zamora,SEA,33.3%,56.5%,41.5%,71.4%,92.3%,81.5%,35.4%,50.0%,7.7%,21.5%,29.2%,2021.0,2021-01-01
262,Enyel De Los Santos,- - -,33.3%,77.7%,53.7%,65.1%,77.4%,73.3%,45.8%,64.7%,14.3%,12.6%,27.0%,2021.0,2021-01-01
263,Kyle Dohy,PHI,33.3%,60.0%,40.0%,80.0%,100.0%,87.5%,25.0%,60.0%,5.0%,10.0%,15.0%,2021.0,2021-01-01
264,Riley O'Brien,CIN,33.3%,66.7%,42.9%,40.0%,87.5%,61.1%,28.6%,66.7%,16.7%,9.5%,26.2%,2021.0,2021-01-01
265,Darien Nunez,LAD,33.3%,73.1%,49.6%,68.0%,65.8%,66.7%,40.9%,60.6%,16.5%,11.0%,27.6%,2021.0,2021-01-01
266,Aaron Fletcher,SEA,33.3%,65.8%,47.7%,62.5%,80.0%,73.2%,44.2%,70.0%,12.8%,18.6%,31.4%,2021.0,2021-01-01
267,Luis Patino,TBR,33.3%,74.1%,51.1%,66.1%,84.3%,77.6%,43.5%,59.2%,11.4%,13.3%,24.7%,2021.0,2021-01-01
268,Noe Ramirez,- - -,33.2%,65.3%,46.3%,71.1%,85.1%,79.1%,40.8%,64.6%,9.7%,18.7%,28.3%,2021.0,2021-01-01
269,Louis Head,TBR,33.2%,76.3%,50.9%,59.8%,85.4%,75.5%,41.0%,59.0%,12.5%,13.2%,25.6%,2021.0,2021-01-01
270,Drew Smyly,ATL,33.2%,70.6%,49.3%,57.8%,87.2%,75.9%,43.0%,64.5%,11.9%,16.2%,28.1%,2021.0,2021-01-01
271,Kodi Whitley,STL,33.2%,80.0%,51.9%,60.0%,78.9%,71.6%,39.9%,60.4%,14.7%,11.2%,25.9%,2021.0,2021-01-01
272,Walker Buehler,LAD,33.1%,68.6%,48.8%,60.0%,86.2%,76.3%,44.0%,65.4%,11.6%,18.1%,29.6%,2021.0,2021-01-01
273,Justin Miller,- - -,33.1%,73.2%,49.8%,70.2%,88.9%,81.6%,41.7%,59.0%,9.2%,14.2%,23.4%,2021.0,2021-01-01
274,Chris Martin,ATL,33.1%,75.9%,54.3%,67.6%,88.8%,82.2%,49.5%,72.4%,9.6%,15.2%,24.8%,2021.0,2021-01-01
275,Lucas Sims,CIN,33.1%,59.1%,43.3%,48.2%,80.4%,65.4%,39.3%,57.4%,15.0%,19.6%,34.6%,2021.0,2021-01-01
276,Aaron Civale,CLE,33.1%,68.5%,47.2%,69.0%,88.3%,80.1%,39.8%,64.9%,9.4%,16.4%,25.8%,2021.0,2021-01-01
277,Dominic Leone,SFG,33.1%,69.5%,47.0%,53.4%,87.2%,72.5%,38.2%,59.4%,12.9%,14.8%,27.7%,2021.0,2021-01-01
278,Kyle Cody,TEX,33.0%,66.0%,48.3%,62.2%,84.4%,76.2%,46.4%,67.3%,11.5%,17.2%,28.7%,2021.0,2021-01-01
279,Tim Mayza,TOR,33.0%,63.9%,45.4%,58.4%,88.4%,75.4%,40.2%,64.3%,11.2%,18.1%,29.3%,2021.0,2021-01-01
280,Trevor Williams,- - -,33.0%,68.8%,48.3%,68.3%,86.1%,79.1%,42.8%,67.7%,10.1%,16.7%,26.8%,2021.0,2021-01-01
281,John Brebbia,SFG,33.0%,77.8%,53.6%,81.4%,80.7%,80.9%,46.1%,71.3%,10.2%,16.3%,26.5%,2021.0,2021-01-01
282,Blake Parker,CLE,32.9%,67.7%,46.8%,67.4%,86.0%,78.1%,40.0%,61.1%,10.2%,17.1%,27.3%,2021.0,2021-01-01
283,Chris Flexen,SEA,32.9%,71.7%,49.6%,72.1%,89.2%,82.7%,43.0%,63.4%,8.6%,15.2%,23.7%,2021.0,2021-01-01
284,Reynaldo Lopez,CHW,32.9%,69.7%,48.9%,65.5%,84.2%,77.1%,43.6%,61.7%,11.2%,15.1%,26.3%,2021.0,2021-01-01
285,Jake Cousins,MIL,32.9%,58.6%,41.8%,43.0%,77.1%,59.6%,34.9%,60.8%,16.9%,20.3%,37.1%,2021.0,2021-01-01
286,Sean Guenther,MIA,32.9%,66.0%,46.9%,66.2%,92.1%,81.7%,42.5%,58.3%,8.6%,15.3%,23.9%,2021.0,2021-01-01
287,Lucas Giolito,CHW,32.8%,72.5%,50.3%,54.6%,78.3%,69.7%,44.2%,59.9%,15.3%,14.5%,29.8%,2021.0,2021-01-01
288,Dylan Floro,MIA,32.8%,70.3%,48.5%,68.8%,85.5%,78.9%,41.9%,64.8%,10.2%,16.8%,27.0%,2021.0,2021-01-01
289,Daniel Hudson,- - -,32.8%,78.3%,52.1%,51.5%,80.2%,69.8%,42.5%,60.0%,15.7%,12.5%,28.2%,2021.0,2021-01-01
290,Craig Kimbrel,- - -,32.8%,66.1%,45.6%,37.4%,78.2%,60.2%,38.6%,63.0%,18.2%,17.4%,35.5%,2021.0,2021-01-01
291,Evan Phillips,- - -,32.8%,72.1%,52.5%,65.0%,86.4%,79.7%,50.0%,67.2%,10.7%,16.8%,27.5%,2021.0,2021-01-01
292,Cody Stashak,MIN,32.8%,74.4%,49.7%,46.7%,77.4%,65.4%,40.6%,62.7%,17.2%,12.0%,29.2%,2021.0,2021-01-01
293,Luke Farrell,MIN,32.8%,63.3%,44.4%,57.3%,85.1%,72.4%,38.1%,51.3%,12.3%,16.1%,28.3%,2021.0,2021-01-01
294,Glenn Otto,TEX,32.7%,68.5%,50.4%,71.6%,87.5%,82.3%,49.6%,73.0%,8.9%,18.8%,27.7%,2021.0,2021-01-01
295,Spencer Turnbull,DET,32.7%,70.4%,49.2%,67.1%,84.5%,78.0%,43.6%,65.7%,10.8%,15.1%,25.9%,2021.0,2021-01-01
296,Luis Garcia,HOU,32.7%,66.7%,46.9%,56.0%,82.0%,71.4%,41.7%,59.9%,13.4%,16.3%,29.7%,2021.0,2021-01-01
297,Jharel Cotton,TEX,32.7%,71.2%,48.8%,68.0%,80.7%,75.8%,41.8%,62.8%,11.8%,14.8%,26.6%,2021.0,2021-01-01
298,Nick Vincent,MIN,32.7%,79.5%,52.7%,58.8%,88.7%,78.1%,42.9%,68.1%,11.5%,12.1%,23.6%,2021.0,2021-01-01
299,Gabe Speier,KCR,32.7%,62.3%,47.6%,58.8%,87.9%,78.0%,50.5%,69.7%,10.5%,19.0%,29.5%,2021.0,2021-01-01
300,Trent Thornton,TOR,32.7%,68.8%,47.1%,72.5%,84.1%,79.3%,40.1%,59.3%,9.8%,16.2%,25.9%,2021.0,2021-01-01
301,Yusei Kikuchi,SEA,32.6%,67.4%,48.2%,56.4%,84.8%,74.2%,44.9%,62.8%,12.5%,16.4%,28.8%,2021.0,2021-01-01
302,Chris Devenski,ARI,32.6%,66.0%,44.8%,63.3%,82.9%,73.8%,36.6%,57.1%,11.7%,17.2%,29.0%,2021.0,2021-01-01
303,Drew Steckenrider,SEA,32.6%,69.7%,49.7%,74.6%,87.0%,82.6%,46.1%,63.7%,8.6%,17.6%,26.2%,2021.0,2021-01-01
304,Tyler Glasnow,TBR,32.6%,68.1%,48.8%,36.4%,80.9%,64.8%,45.9%,62.4%,17.2%,16.5%,33.7%,2021.0,2021-01-01
305,Luis Cessa,- - -,32.5%,66.4%,46.7%,58.3%,87.8%,75.8%,41.7%,61.3%,11.3%,18.2%,29.5%,2021.0,2021-01-01
306,Dylan Cease,CHW,32.5%,67.6%,46.7%,53.9%,78.5%,68.3%,40.2%,58.3%,14.8%,15.5%,30.3%,2021.0,2021-01-01
307,Chris Stratton,PIT,32.5%,70.1%,47.3%,53.5%,87.9%,73.5%,39.4%,59.9%,12.5%,16.3%,28.8%,2021.0,2021-01-01
308,Sean Manaea,OAK,32.5%,71.5%,51.4%,64.3%,81.7%,76.0%,48.3%,66.6%,12.3%,16.2%,28.6%,2021.0,2021-01-01
309,Jose Urquidy,HOU,32.5%,72.8%,52.7%,64.5%,83.3%,77.5%,50.0%,64.3%,11.8%,16.6%,28.4%,2021.0,2021-01-01
310,Michael Feliz,- - -,32.5%,67.7%,48.4%,54.5%,85.0%,73.7%,45.1%,67.8%,12.7%,17.8%,30.5%,2021.0,2021-01-01
311,Garrett Whitlock,BOS,32.5%,70.2%,50.3%,62.9%,80.4%,74.4%,47.3%,64.4%,12.9%,17.5%,30.3%,2021.0,2021-01-01
312,Alex Claudio,LAA,32.5%,62.8%,42.6%,66.1%,86.2%,76.0%,33.4%,56.8%,10.2%,17.5%,27.8%,2021.0,2021-01-01
313,Jose Quintana,- - -,32.5%,68.1%,45.7%,59.7%,85.4%,73.9%,37.2%,59.9%,11.9%,15.5%,27.4%,2021.0,2021-01-01
314,Kendall Graveman,- - -,32.4%,64.7%,44.7%,62.3%,86.9%,75.8%,38.0%,59.0%,10.8%,17.8%,28.6%,2021.0,2021-01-01
315,Zach Plesac,CLE,32.4%,74.7%,50.8%,65.8%,84.7%,77.9%,43.6%,65.9%,11.2%,15.1%,26.3%,2021.0,2021-01-01
316,Marco Gonzales,SEA,32.4%,70.8%,48.0%,72.3%,86.8%,81.0%,40.6%,62.7%,9.1%,16.6%,25.7%,2021.0,2021-01-01
317,Anthony Swarzak,- - -,32.4%,68.1%,49.2%,73.5%,89.1%,83.7%,47.2%,57.1%,8.0%,18.6%,26.6%,2021.0,2021-01-01
318,Shane Baz,TBR,32.4%,73.1%,51.5%,64.7%,70.6%,68.6%,47.0%,53.1%,16.2%,14.6%,30.8%,2021.0,2021-01-01
319,Josh Taylor,BOS,32.4%,72.4%,49.4%,46.3%,81.6%,68.3%,42.6%,61.2%,15.7%,14.0%,29.7%,2021.0,2021-01-01
320,Steven Brault,PIT,32.4%,74.6%,48.4%,71.0%,88.7%,81.3%,38.0%,51.2%,9.0%,14.5%,23.5%,2021.0,2021-01-01
321,Joakim Soria,- - -,32.3%,74.3%,50.9%,59.6%,84.4%,75.6%,44.3%,69.8%,12.4%,15.2%,27.6%,2021.0,2021-01-01
322,J.B. Bukauskas,ARI,32.3%,69.7%,48.3%,47.2%,91.8%,74.6%,42.7%,63.0%,12.2%,15.4%,27.6%,2021.0,2021-01-01
323,Austin Voth,WSN,32.3%,72.1%,48.0%,64.0%,84.8%,76.3%,39.4%,57.7%,11.4%,14.3%,25.7%,2021.0,2021-01-01
324,John Curtiss,- - -,32.3%,70.2%,49.5%,56.5%,84.8%,74.7%,45.4%,66.3%,12.5%,17.9%,30.4%,2021.0,2021-01-01
325,Zack Greinke,HOU,32.3%,67.8%,45.9%,66.5%,90.4%,80.0%,38.2%,66.0%,9.2%,17.6%,26.7%,2021.0,2021-01-01
326,Tanner Houck,BOS,32.3%,68.3%,46.7%,53.6%,83.5%,71.1%,40.1%,60.7%,13.5%,17.0%,30.5%,2021.0,2021-01-01
327,Caleb Thielbar,MIN,32.3%,68.5%,49.2%,65.8%,81.9%,76.3%,46.7%,59.4%,11.7%,17.1%,28.8%,2021.0,2021-01-01
328,Robert Gsellman,NYM,32.2%,71.9%,49.4%,67.9%,87.2%,80.1%,43.3%,63.0%,9.8%,12.9%,22.7%,2021.0,2021-01-01
329,Tyler Rogers,SFG,32.2%,69.7%,50.7%,76.2%,89.7%,85.3%,49.2%,64.4%,7.4%,19.1%,26.6%,2021.0,2021-01-01
330,Kyle Gibson,- - -,32.2%,68.5%,44.6%,63.5%,88.9%,76.9%,34.3%,59.3%,10.3%,16.7%,27.0%,2021.0,2021-01-01
331,Chris Paddack,SDP,32.2%,69.7%,49.2%,69.9%,81.4%,77.3%,45.3%,63.6%,11.2%,16.2%,27.3%,2021.0,2021-01-01
332,Alex Wood,SFG,32.2%,65.1%,46.9%,57.7%,83.0%,73.4%,44.8%,64.6%,12.5%,19.8%,32.3%,2021.0,2021-01-01
333,John Means,BAL,32.2%,73.6%,50.3%,70.6%,79.5%,76.3%,43.6%,69.3%,11.9%,14.9%,26.8%,2021.0,2021-01-01
334,Dennis Santana,- - -,32.2%,68.8%,46.0%,61.5%,84.3%,74.4%,37.7%,57.0%,11.8%,15.2%,27.0%,2021.0,2021-01-01
335,Jace Peterson,MIL,32.1%,41.7%,35.0%,88.9%,100.0%,92.9%,30.0%,54.5%,2.5%,22.5%,25.0%,2021.0,2021-01-01
336,Zack Littell,SFG,32.1%,78.2%,51.9%,59.9%,82.3%,74.4%,42.9%,60.3%,13.3%,12.9%,26.2%,2021.0,2021-01-01
337,Taylor Clarke,ARI,32.1%,76.5%,51.1%,71.0%,84.6%,79.7%,42.9%,62.9%,10.3%,12.9%,23.2%,2021.0,2021-01-01
338,Lance Lynn,CHW,32.1%,74.2%,50.0%,64.0%,83.0%,76.0%,42.6%,58.5%,12.0%,13.7%,25.7%,2021.0,2021-01-01
339,Camilo Doval,SFG,32.1%,62.6%,44.9%,41.7%,89.1%,69.5%,42.0%,60.6%,13.7%,19.7%,33.4%,2021.0,2021-01-01
340,Jeurys Familia,NYM,32.1%,66.6%,47.1%,51.6%,86.4%,73.1%,43.6%,61.1%,12.7%,16.6%,29.3%,2021.0,2021-01-01
