#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
172,Will Smith,ATL,34.2%,72.7%,50.0%,40.7%,92.5%,71.6%,41.0%,47.2%,14.2%,14.2%,28.4%,2.0,2022-04-01
173,Hector Neris,HOU,34.1%,69.2%,51.3%,53.6%,83.3%,73.2%,48.8%,69.2%,13.8%,17.5%,31.3%,2.0,2022-04-01
174,Cole Sulser,MIA,34.1%,70.8%,50.3%,61.3%,82.4%,74.4%,44.2%,73.7%,12.9%,16.6%,29.4%,2.0,2022-04-01
175,Alexis Diaz,CIN,34.0%,69.2%,48.4%,53.1%,82.2%,70.1%,40.9%,63.9%,14.5%,13.8%,28.3%,2.0,2022-04-01
176,Gerrit Cole,NYY,34.0%,66.9%,46.5%,49.4%,86.4%,69.7%,38.1%,53.0%,14.1%,16.8%,30.9%,2.0,2022-04-01
177,Dylan Bundy,MIN,34.0%,68.4%,50.8%,63.0%,82.7%,75.9%,48.9%,61.9%,12.2%,17.7%,29.9%,2.0,2022-04-01
178,Paolo Espino,WSN,33.9%,71.7%,46.9%,71.8%,88.4%,80.5%,34.3%,63.8%,9.1%,18.3%,27.4%,2.0,2022-04-01
179,Corbin Martin,ARI,33.9%,68.0%,47.2%,62.5%,90.2%,78.0%,38.9%,60.0%,10.4%,15.0%,25.4%,2.0,2022-04-01
180,Nestor Cortes,NYY,33.9%,66.0%,48.0%,77.8%,81.4%,80.0%,44.1%,69.2%,9.6%,18.9%,28.5%,2.0,2022-04-01
181,Kyle Nelson,ARI,33.9%,65.9%,46.6%,47.6%,88.9%,70.8%,39.8%,59.3%,13.6%,19.4%,33.0%,2.0,2022-04-01
182,Seranthony Dominguez,PHI,33.8%,64.4%,47.1%,65.4%,86.8%,78.1%,43.4%,54.8%,10.3%,16.9%,27.2%,2.0,2022-04-01
183,Aaron Nola,PHI,33.8%,67.0%,48.4%,68.4%,83.1%,77.3%,44.2%,74.8%,11.0%,19.8%,30.8%,2.0,2022-04-01
184,David Bednar,PIT,33.8%,67.2%,48.2%,44.4%,68.3%,58.8%,43.3%,56.8%,19.9%,17.0%,36.9%,2.0,2022-04-01
185,Michael King,NYY,33.6%,59.7%,43.5%,50.0%,72.1%,61.4%,37.7%,60.0%,16.8%,24.1%,40.8%,2.0,2022-04-01
186,Drew Rasmussen,TBR,33.5%,70.2%,49.8%,43.6%,87.0%,70.7%,44.4%,63.5%,14.6%,14.6%,29.2%,2.0,2022-04-01
187,Martin Perez,TEX,33.5%,55.1%,41.3%,70.3%,88.1%,78.9%,35.9%,67.5%,8.7%,20.8%,29.5%,2.0,2022-04-01
188,Chris Flexen,SEA,33.5%,74.6%,49.6%,61.4%,91.0%,78.8%,39.1%,60.4%,10.5%,13.7%,24.2%,2.0,2022-04-01
189,T.J. McFarland,STL,33.3%,73.3%,47.6%,83.3%,95.5%,90.0%,35.7%,44.0%,4.8%,13.1%,17.9%,2.0,2022-04-01
190,Alex Cobb,SFG,33.3%,66.1%,46.9%,53.6%,84.6%,71.6%,41.3%,62.5%,13.3%,18.9%,32.2%,2.0,2022-04-01
191,Richard Bleier,MIA,33.3%,77.5%,57.5%,54.5%,87.1%,78.6%,54.8%,68.2%,12.3%,16.4%,28.8%,2.0,2022-04-01
192,Chasen Shreve,NYM,33.3%,75.0%,47.5%,58.1%,86.1%,73.1%,34.0%,68.8%,12.8%,18.4%,31.2%,2.0,2022-04-01
193,Matt Wisler,TBR,33.3%,71.6%,49.7%,63.9%,84.5%,76.6%,42.9%,63.0%,11.6%,17.5%,29.1%,2.0,2022-04-01
194,Andrew Chafin,DET,33.3%,42.9%,37.9%,60.0%,100.0%,81.8%,48.3%,62.5%,6.9%,27.6%,34.5%,2.0,2022-04-01
195,Luis Cessa,CIN,33.3%,67.9%,49.2%,50.0%,86.8%,73.3%,45.9%,66.7%,13.1%,15.6%,28.7%,2.0,2022-04-01
196,Daniel Norris,CHC,33.3%,69.4%,46.9%,45.0%,68.0%,57.8%,37.5%,73.9%,19.8%,16.7%,36.5%,2.0,2022-04-01
197,Carson Kelly,ARI,33.3%,50.0%,38.5%,100.0%,100.0%,100.0%,30.8%,66.7%,0.0%,23.1%,23.1%,2.0,2022-04-01
198,Tim Hill,SDP,33.3%,56.8%,44.9%,86.7%,92.0%,90.0%,49.4%,66.7%,4.5%,19.1%,23.6%,2.0,2022-04-01
199,Eli Morgan,CLE,33.3%,69.4%,49.3%,57.7%,79.1%,71.0%,44.3%,69.4%,14.3%,15.7%,30.0%,2.0,2022-04-01
200,Nick Sandlin,CLE,33.3%,63.3%,45.8%,69.6%,83.9%,77.8%,41.5%,65.5%,10.2%,20.3%,30.5%,2.0,2022-04-01
201,Seth Martinez,HOU,33.3%,100.0%,53.8%,66.7%,50.0%,57.1%,30.8%,75.0%,23.1%,0.0%,23.1%,2.0,2022-04-01
202,Connor Brogdon,PHI,33.3%,60.0%,41.9%,71.4%,100.0%,84.6%,32.3%,44.4%,6.5%,19.4%,25.8%,2.0,2022-04-01
203,Beau Sulser,PIT,33.3%,66.7%,47.4%,66.7%,90.9%,81.1%,42.3%,45.5%,9.0%,15.4%,24.4%,2.0,2022-04-01
204,Kyle Bradish,BAL,33.3%,66.7%,48.1%,53.3%,95.8%,79.5%,44.4%,39.1%,9.9%,16.0%,25.9%,2.0,2022-04-01
205,Andrew Wantz,LAA,33.3%,66.7%,52.8%,60.0%,71.4%,68.4%,58.3%,72.7%,16.7%,19.4%,36.1%,2.0,2022-04-01
206,Penn Murfee,SEA,33.3%,72.7%,52.2%,50.0%,87.5%,75.0%,47.8%,71.4%,13.0%,21.7%,34.8%,2.0,2022-04-01
207,Steven Matz,STL,33.1%,68.8%,50.2%,64.9%,81.5%,75.8%,47.7%,64.2%,12.2%,17.9%,30.1%,2.0,2022-04-01
208,Miles Mikolas,STL,33.1%,67.8%,49.0%,76.3%,89.2%,84.5%,45.9%,69.0%,7.6%,18.1%,25.7%,2.0,2022-04-01
209,Miguel Castro,NYY,33.0%,61.9%,41.1%,63.9%,80.8%,71.0%,27.8%,45.9%,11.9%,17.9%,29.8%,2.0,2022-04-01
210,Noe Ramirez,ARI,33.0%,60.0%,43.0%,61.3%,81.8%,71.9%,36.9%,60.5%,12.1%,20.8%,32.9%,2.0,2022-04-01
211,Kyle Gibson,PHI,33.0%,70.2%,47.4%,50.6%,83.3%,69.4%,38.8%,62.5%,14.5%,14.7%,29.3%,2.0,2022-04-01
212,Cody Poteet,MIA,33.0%,79.0%,52.0%,55.2%,69.4%,64.1%,41.3%,50.0%,18.7%,12.7%,31.3%,2.0,2022-04-01
213,Michael Rucker,CHC,33.0%,61.4%,44.1%,62.1%,88.6%,76.6%,39.3%,60.6%,10.3%,17.9%,28.3%,2.0,2022-04-01
214,Nick Martinez,SDP,32.9%,63.2%,43.0%,59.7%,81.1%,70.2%,33.3%,63.2%,12.8%,18.5%,31.3%,2.0,2022-04-01
215,Tyler Wells,BAL,32.9%,73.7%,48.8%,73.5%,85.7%,80.7%,38.9%,63.2%,9.4%,15.2%,24.6%,2.0,2022-04-01
216,Sonny Gray,MIN,32.9%,70.3%,45.8%,65.2%,88.5%,77.6%,34.6%,70.4%,10.3%,17.8%,28.0%,2.0,2022-04-01
217,Jesus Luzardo,MIA,32.9%,58.3%,42.7%,52.2%,80.5%,67.1%,38.6%,70.7%,14.0%,21.3%,35.4%,2.0,2022-04-01
218,Cal Quantrill,CLE,32.9%,64.2%,45.9%,79.4%,86.3%,83.4%,41.7%,55.6%,7.6%,15.5%,23.1%,2.0,2022-04-01
219,Rich Hill,BOS,32.8%,57.0%,44.7%,77.3%,94.5%,88.0%,48.9%,69.0%,5.3%,23.7%,29.0%,2.0,2022-04-01
220,Ross Stripling,TOR,32.8%,67.6%,48.1%,70.5%,77.5%,74.8%,43.9%,66.1%,12.1%,17.6%,29.7%,2.0,2022-04-01
221,Taijuan Walker,NYM,32.8%,69.2%,46.6%,47.6%,81.5%,66.7%,37.9%,34.8%,15.5%,15.5%,31.1%,2.0,2022-04-01
222,Sean Reid-Foley,NYM,32.8%,67.5%,46.4%,61.5%,75.0%,69.2%,39.3%,65.9%,14.3%,14.8%,29.1%,2.0,2022-04-01
223,Mitch Keller,PIT,32.7%,67.6%,48.7%,64.8%,88.3%,79.7%,45.7%,65.4%,9.9%,17.1%,27.0%,2.0,2022-04-01
224,Dallas Keuchel,CHW,32.7%,78.8%,46.8%,61.2%,88.5%,75.2%,30.6%,56.9%,11.6%,11.1%,22.7%,2.0,2022-04-01
225,Anthony Gose,CLE,32.7%,62.5%,46.1%,31.3%,80.0%,61.0%,44.9%,82.6%,18.0%,18.0%,36.0%,2.0,2022-04-01
226,Freddy Peralta,MIL,32.6%,63.0%,43.1%,59.5%,80.0%,69.8%,34.4%,51.3%,13.0%,17.1%,30.1%,2.0,2022-04-01
227,Tarik Skubal,DET,32.6%,72.6%,51.6%,64.4%,84.9%,78.1%,47.5%,55.7%,11.3%,15.4%,26.7%,2.0,2022-04-01
228,Zach Thompson,PIT,32.6%,64.3%,45.1%,62.1%,86.5%,75.8%,39.2%,64.9%,10.9%,15.7%,26.6%,2.0,2022-04-01
229,Glenn Otto,TEX,32.6%,66.2%,46.8%,37.9%,83.7%,65.3%,42.2%,56.8%,16.2%,15.6%,31.8%,2.0,2022-04-01
230,Anthony Castro,CLE,32.5%,71.0%,49.3%,61.5%,86.4%,77.1%,43.7%,66.7%,11.3%,15.5%,26.8%,2.0,2022-04-01
231,Matt Bush,TEX,32.4%,64.5%,47.1%,58.3%,80.0%,71.9%,45.6%,73.0%,13.2%,20.6%,33.8%,2.0,2022-04-01
232,Oliver Perez,ARI,32.4%,55.6%,43.8%,83.3%,95.0%,90.6%,49.3%,66.7%,4.1%,21.9%,26.0%,2.0,2022-04-01
233,Wandy Peralta,NYY,32.4%,77.8%,48.1%,54.5%,92.9%,76.0%,34.6%,56.7%,11.5%,9.6%,21.2%,2.0,2022-04-01
234,Ron Marinaccio,NYY,32.3%,77.1%,48.5%,65.0%,88.9%,78.7%,36.1%,42.9%,10.3%,16.5%,26.8%,2.0,2022-04-01
235,Phoenix Sanders,TBR,32.2%,70.8%,53.4%,84.2%,90.2%,88.6%,55.0%,65.7%,6.1%,16.0%,22.1%,2.0,2022-04-01
236,Michael Kopech,CHW,32.2%,67.2%,45.2%,66.2%,85.0%,76.6%,37.1%,54.8%,10.6%,15.3%,25.9%,2.0,2022-04-01
237,Adrian Houser,MIL,32.2%,65.9%,44.3%,74.3%,88.2%,81.8%,35.9%,57.5%,8.1%,16.7%,24.8%,2.0,2022-04-01
238,Daniel Bard,COL,32.1%,63.5%,47.2%,33.3%,90.9%,70.6%,48.1%,60.0%,13.9%,25.0%,38.9%,2.0,2022-04-01
239,Yimi Garcia,TOR,32.1%,66.7%,44.7%,77.8%,84.4%,81.4%,36.4%,57.6%,8.3%,13.6%,22.0%,2.0,2022-04-01
240,Tyler Alexander,DET,32.1%,67.6%,47.1%,77.8%,89.9%,85.1%,42.1%,49.2%,7.0%,15.7%,22.7%,2.0,2022-04-01
241,Zach Eflin,PHI,32.1%,74.8%,50.3%,66.7%,85.6%,78.7%,42.6%,58.8%,10.7%,13.8%,24.5%,2.0,2022-04-01
242,Drew Hutchison,DET,32.1%,73.1%,48.0%,67.6%,87.8%,79.5%,38.7%,61.7%,9.8%,11.0%,20.8%,2.0,2022-04-01
243,Anthony Bender,MIA,32.1%,57.9%,45.5%,47.1%,93.9%,78.0%,51.8%,74.3%,10.0%,24.5%,34.5%,2.0,2022-04-01
244,Noah Syndergaard,LAA,32.1%,67.8%,48.8%,57.1%,82.1%,73.3%,46.7%,55.2%,13.0%,16.3%,29.3%,2.0,2022-04-01
245,Michael Fulmer,DET,32.0%,76.3%,46.9%,58.3%,75.9%,67.9%,33.6%,56.3%,15.0%,11.5%,26.5%,2.0,2022-04-01
246,Jake Woodford,STL,32.0%,77.1%,50.6%,75.0%,88.9%,83.7%,41.2%,70.8%,8.2%,15.3%,23.5%,2.0,2022-04-01
247,Erasmo Ramirez,WSN,31.8%,67.3%,51.0%,78.6%,82.9%,81.6%,54.2%,73.1%,9.4%,19.8%,29.2%,2.0,2022-04-01
248,Matt Koch,SEA,31.8%,75.0%,48.6%,71.4%,81.0%,77.1%,38.9%,52.6%,11.1%,13.9%,25.0%,2.0,2022-04-01
249,Matthew Festa,SEA,31.8%,63.4%,44.2%,40.0%,75.6%,60.0%,39.2%,66.7%,17.7%,19.9%,37.6%,2.0,2022-04-01
250,Edwin Uceta,ARI,31.8%,70.0%,43.8%,85.7%,71.4%,78.6%,31.3%,66.7%,9.4%,15.6%,25.0%,2.0,2022-04-01
251,Spenser Watkins,BAL,31.8%,63.6%,46.1%,70.2%,93.5%,84.7%,45.0%,68.4%,7.1%,16.4%,23.4%,2.0,2022-04-01
252,German Marquez,COL,31.7%,68.6%,49.7%,64.2%,94.5%,84.6%,48.8%,63.2%,7.7%,18.7%,26.4%,2.0,2022-04-01
253,Ryan Tepera,LAA,31.7%,70.0%,44.4%,50.0%,82.9%,67.2%,33.1%,65.0%,14.6%,14.6%,29.1%,2.0,2022-04-01
254,Jose Quintana,PIT,31.7%,67.0%,42.7%,61.4%,89.6%,75.2%,31.2%,57.7%,10.6%,15.3%,25.9%,2.0,2022-04-01
255,Sam Moll,OAK,31.7%,43.8%,35.9%,68.4%,71.4%,69.7%,34.8%,54.2%,10.9%,19.6%,30.4%,2.0,2022-04-01
256,Travis Lakins Sr.,BAL,31.7%,75.0%,50.9%,68.4%,80.6%,76.4%,44.4%,60.7%,12.0%,13.9%,25.9%,2.0,2022-04-01
257,Miguel Yajure,PIT,31.7%,70.8%,46.4%,57.9%,92.2%,77.5%,37.5%,62.7%,10.4%,13.0%,23.4%,2.0,2022-04-01
258,Wily Peralta,DET,31.6%,52.6%,38.6%,50.0%,85.0%,65.9%,33.3%,51.9%,13.2%,21.9%,35.1%,2.0,2022-04-01
259,Art Warren,CIN,31.6%,62.2%,45.1%,38.9%,89.3%,69.6%,44.1%,63.0%,13.7%,16.7%,30.4%,2.0,2022-04-01
260,Jordan Hicks,STL,31.6%,63.6%,43.3%,56.7%,94.3%,76.9%,36.7%,52.8%,10.0%,14.7%,24.7%,2.0,2022-04-01
261,Bryce Elder,ATL,31.6%,68.4%,44.0%,59.2%,91.0%,75.8%,33.6%,50.6%,10.6%,13.6%,24.2%,2.0,2022-04-01
262,Steve Cishek,WSN,31.5%,63.9%,44.4%,72.4%,92.3%,83.8%,39.9%,62.5%,7.2%,18.3%,25.5%,2.0,2022-04-01
263,Josh Hader,MIL,31.5%,69.2%,45.1%,44.8%,72.2%,60.0%,36.1%,44.1%,18.1%,15.3%,33.3%,2.0,2022-04-01
264,Jose Urquidy,HOU,31.5%,73.7%,52.2%,68.6%,87.8%,81.9%,49.1%,66.3%,9.4%,15.4%,24.8%,2.0,2022-04-01
265,Josh Staumont,KCR,31.5%,69.5%,46.6%,53.6%,78.0%,68.1%,39.9%,50.0%,14.9%,16.9%,31.8%,2.0,2022-04-01
266,Clarke Schmidt,NYY,31.4%,66.7%,45.2%,40.9%,86.7%,67.3%,39.1%,66.7%,14.8%,17.4%,32.2%,2.0,2022-04-01
267,Patrick Sandoval,LAA,31.4%,62.2%,42.7%,53.1%,82.1%,68.6%,36.6%,55.0%,13.4%,17.5%,30.9%,2.0,2022-04-01
268,Sandy Alcantara,MIA,31.4%,73.2%,48.1%,58.6%,85.3%,74.9%,40.1%,57.6%,12.1%,13.7%,25.8%,2.0,2022-04-01
269,Austin Gomber,COL,31.4%,76.9%,51.3%,69.5%,91.2%,83.7%,43.9%,55.2%,8.4%,12.8%,21.2%,2.0,2022-04-01
270,Ronald Bolanos,KCR,31.4%,62.1%,42.5%,56.3%,94.4%,76.5%,36.3%,60.0%,10.0%,17.5%,27.5%,2.0,2022-04-01
271,Alex Colome,COL,31.3%,71.1%,43.8%,84.6%,85.2%,84.9%,31.4%,58.1%,6.6%,14.9%,21.5%,2.0,2022-04-01
272,Jalen Beeks,TBR,31.3%,71.4%,46.2%,69.2%,60.0%,63.9%,37.1%,66.7%,16.7%,16.7%,33.3%,2.0,2022-04-01
273,Ethan Roberts,CHC,31.3%,71.8%,49.2%,71.0%,89.3%,82.8%,44.1%,50.0%,8.5%,10.7%,19.2%,2.0,2022-04-01
274,Spencer Strider,ATL,31.3%,68.8%,48.1%,52.8%,75.0%,67.0%,44.7%,60.0%,15.9%,14.4%,30.3%,2.0,2022-04-01
275,Aaron Sanchez,WSN,31.3%,62.0%,47.4%,85.0%,90.9%,89.1%,52.6%,63.2%,5.2%,21.5%,26.7%,2.0,2022-04-01
276,Kenny Rosenberg,LAA,31.3%,71.4%,43.5%,40.0%,80.0%,60.0%,30.4%,66.7%,17.4%,17.4%,34.8%,2.0,2022-04-01
277,Jose Berrios,TOR,31.2%,70.9%,49.7%,65.6%,89.0%,81.2%,46.6%,70.5%,9.4%,17.4%,26.8%,2.0,2022-04-01
278,Shohei Ohtani,LAA,31.2%,59.0%,43.8%,42.6%,83.5%,67.6%,45.4%,66.3%,14.2%,21.1%,35.3%,2.0,2022-04-01
279,Louis Head,MIA,31.1%,70.0%,49.4%,64.3%,89.3%,81.0%,47.1%,34.8%,9.4%,14.1%,23.5%,2.0,2022-04-01
280,John King,TEX,31.1%,64.3%,43.8%,67.9%,91.7%,81.3%,38.4%,63.2%,8.2%,15.1%,23.3%,2.0,2022-04-01
281,Tyler Thornburg,ATL,31.1%,68.8%,45.9%,78.3%,87.9%,83.9%,39.3%,62.5%,7.4%,15.6%,23.0%,2.0,2022-04-01
282,Phil Maton,HOU,31.0%,84.6%,52.1%,71.0%,85.5%,80.2%,39.4%,54.5%,10.3%,12.1%,22.4%,2.0,2022-04-01
283,Carlos Estevez,COL,31.0%,68.9%,45.7%,95.5%,96.8%,96.2%,38.8%,75.0%,1.7%,15.5%,17.2%,2.0,2022-04-01
284,Tanner Scott,MIA,30.9%,65.6%,44.7%,43.3%,66.7%,56.9%,39.8%,41.7%,19.3%,15.5%,34.8%,2.0,2022-04-01
285,Logan Gilbert,SEA,30.9%,77.4%,49.5%,72.1%,83.2%,79.0%,39.9%,54.1%,10.4%,14.2%,24.6%,2.0,2022-04-01
286,Steven Okert,MIA,30.8%,74.4%,47.1%,55.0%,82.8%,71.4%,37.5%,40.9%,13.5%,14.4%,27.9%,2.0,2022-04-01
287,Humberto Castellanos,ARI,30.8%,64.2%,45.8%,70.0%,97.1%,87.0%,44.9%,58.1%,5.9%,19.1%,25.0%,2.0,2022-04-01
288,Ranger Suarez,PHI,30.7%,68.0%,44.6%,74.6%,89.2%,82.9%,37.3%,59.0%,7.6%,18.7%,26.3%,2.0,2022-04-01
289,Jose Suarez,LAA,30.7%,72.1%,48.8%,68.6%,81.7%,77.1%,43.7%,57.5%,11.2%,13.6%,24.7%,2.0,2022-04-01
290,MacKenzie Gore,SDP,30.7%,77.3%,50.2%,70.2%,83.5%,78.8%,41.8%,50.0%,10.6%,12.9%,23.6%,2.0,2022-04-01
291,Aroldis Chapman,NYY,30.7%,54.7%,39.7%,51.9%,82.8%,67.9%,37.6%,64.7%,12.8%,24.8%,37.6%,2.0,2022-04-01
292,Mychal Givens,CHC,30.7%,62.7%,43.5%,74.1%,81.1%,78.1%,40.1%,57.6%,9.5%,18.4%,27.9%,2.0,2022-04-01
293,Rowan Wick,CHC,30.6%,65.5%,47.0%,57.9%,94.4%,81.8%,47.0%,58.6%,8.5%,18.8%,27.4%,2.0,2022-04-01
294,Dane Dunning,TEX,30.6%,61.1%,42.6%,69.6%,82.4%,76.8%,39.3%,57.7%,9.9%,19.8%,29.6%,2.0,2022-04-01
295,Reiver Sanmartin,CIN,30.6%,68.5%,45.6%,65.4%,92.1%,81.3%,39.5%,53.4%,8.5%,14.2%,22.8%,2.0,2022-04-01
296,Trevor Richards,TOR,30.6%,78.4%,44.8%,54.1%,85.0%,70.1%,29.7%,55.6%,13.4%,12.2%,25.6%,2.0,2022-04-01
297,Tyler Kinley,COL,30.6%,71.0%,50.4%,40.9%,75.5%,64.8%,48.9%,64.1%,17.6%,15.5%,33.1%,2.0,2022-04-01
298,Daulton Jefferies,OAK,30.5%,69.2%,47.2%,63.8%,85.2%,77.3%,43.2%,63.3%,10.7%,16.2%,26.9%,2.0,2022-04-01
299,Keegan Thompson,CHC,30.5%,63.4%,46.5%,58.3%,83.1%,74.8%,48.7%,60.7%,11.7%,20.9%,32.6%,2.0,2022-04-01
300,Lou Trivino,OAK,30.4%,82.6%,47.8%,71.4%,78.9%,75.8%,33.3%,55.6%,11.6%,11.6%,23.2%,2.0,2022-04-01
301,Ryan Castellani,OAK,30.4%,81.8%,55.6%,71.4%,100.0%,92.0%,48.9%,72.7%,4.4%,13.3%,17.8%,2.0,2022-04-01
302,John Schreiber,BOS,30.4%,76.9%,47.2%,42.9%,90.0%,70.6%,36.1%,37.5%,13.9%,13.9%,27.8%,2.0,2022-04-01
303,Joe Ryan,MIN,30.4%,70.5%,48.3%,50.9%,82.5%,71.5%,44.6%,63.9%,13.8%,17.7%,31.5%,2.0,2022-04-01
304,Trevor Rogers,MIA,30.4%,73.9%,49.5%,65.5%,84.8%,78.1%,44.0%,63.2%,10.8%,14.9%,25.7%,2.0,2022-04-01
305,Domingo Acevedo,OAK,30.4%,74.3%,51.6%,41.7%,76.4%,65.8%,48.4%,61.0%,17.6%,15.0%,32.7%,2.0,2022-04-01
306,Yunior Marte,SFG,30.4%,73.3%,49.5%,52.9%,87.9%,76.0%,44.6%,57.7%,11.9%,11.9%,23.8%,2.0,2022-04-01
307,Ian Anderson,ATL,30.3%,80.0%,48.3%,50.7%,84.0%,70.7%,36.1%,53.0%,14.2%,10.1%,24.3%,2.0,2022-04-01
308,Mark Melancon,ARI,30.3%,73.2%,46.7%,75.0%,73.3%,74.0%,38.3%,67.6%,12.1%,15.0%,27.1%,2.0,2022-04-01
309,Archie Bradley,LAA,30.3%,70.2%,48.8%,65.0%,87.5%,80.0%,46.3%,62.9%,9.8%,19.5%,29.3%,2.0,2022-04-01
310,Tucker Davidson,ATL,30.3%,64.0%,44.8%,50.0%,81.3%,69.2%,43.1%,56.3%,13.8%,15.5%,29.3%,2.0,2022-04-01
311,Erick Fedde,WSN,30.3%,61.8%,42.4%,72.7%,88.1%,81.3%,38.4%,63.0%,7.9%,20.3%,28.2%,2.0,2022-04-01
312,Zach Jackson,OAK,30.3%,65.5%,42.5%,57.6%,81.6%,70.4%,34.7%,50.0%,12.6%,13.2%,25.7%,2.0,2022-04-01
313,Vince Velasquez,CHW,30.3%,71.1%,47.5%,57.1%,86.5%,75.7%,42.2%,54.4%,11.6%,16.6%,28.1%,2.0,2022-04-01
314,Jimmy Lambert,CHW,30.3%,71.7%,45.9%,82.6%,75.8%,78.6%,37.7%,61.3%,9.8%,15.6%,25.4%,2.0,2022-04-01
315,Chris Bassitt,NYM,30.2%,61.6%,44.8%,66.1%,77.1%,73.1%,46.3%,67.7%,12.0%,19.9%,31.9%,2.0,2022-04-01
316,Aaron Brooks,STL,30.2%,67.6%,46.8%,65.4%,89.1%,80.6%,44.2%,62.8%,9.1%,22.1%,31.2%,2.0,2022-04-01
317,Josh Sborz,TEX,30.2%,58.3%,39.0%,68.8%,71.4%,70.0%,31.2%,77.8%,11.7%,18.2%,29.9%,2.0,2022-04-01
318,Daniel Hudson,LAD,30.0%,76.0%,50.9%,38.9%,78.9%,66.1%,45.5%,48.1%,17.3%,11.8%,29.1%,2.0,2022-04-01
319,Robbie Ray,SEA,30.0%,76.7%,51.8%,56.9%,85.7%,76.8%,46.7%,66.4%,12.0%,13.3%,25.3%,2.0,2022-04-01
320,Chris Martin,CHC,30.0%,77.6%,48.1%,66.7%,76.3%,72.6%,38.0%,65.6%,13.2%,14.0%,27.1%,2.0,2022-04-01
321,Drew Smith,NYM,30.0%,74.2%,48.7%,63.0%,73.5%,69.7%,42.3%,63.9%,14.7%,14.1%,28.8%,2.0,2022-04-01
322,Jarlin Garcia,SFG,30.0%,60.0%,41.1%,61.1%,85.7%,74.4%,36.8%,58.3%,10.5%,20.0%,30.5%,2.0,2022-04-01
323,Dylan Coleman,KCR,30.0%,60.0%,42.0%,63.0%,77.8%,71.4%,40.0%,57.6%,12.0%,18.0%,30.0%,2.0,2022-04-01
324,Kyle Freeland,COL,29.9%,68.8%,46.0%,62.7%,89.5%,79.2%,41.2%,62.0%,9.6%,17.6%,27.2%,2.0,2022-04-01
325,Camilo Doval,SFG,29.9%,58.6%,41.4%,50.0%,88.2%,71.7%,40.0%,52.4%,11.7%,22.1%,33.8%,2.0,2022-04-01
326,Giovanny Gallegos,STL,29.9%,77.6%,50.0%,40.0%,84.2%,69.0%,42.2%,66.7%,15.5%,16.4%,31.9%,2.0,2022-04-01
327,Andres Machado,WSN,29.8%,66.7%,43.7%,64.9%,90.0%,79.3%,37.7%,56.5%,9.0%,16.6%,25.6%,2.0,2022-04-01
328,Antonio Senzatela,COL,29.8%,73.9%,48.9%,75.9%,93.1%,87.2%,43.3%,56.3%,6.3%,13.8%,20.1%,2.0,2022-04-01
329,Jake Cousins,MIL,29.8%,53.1%,38.7%,45.2%,70.6%,58.5%,38.1%,55.3%,16.1%,21.4%,37.5%,2.0,2022-04-01
330,Corey Knebel,PHI,29.8%,63.0%,42.8%,56.0%,88.2%,74.6%,39.1%,72.2%,10.9%,19.6%,30.4%,2.0,2022-04-01
331,Buck Farmer,CIN,29.8%,69.4%,43.2%,52.8%,81.4%,68.4%,33.9%,58.1%,13.6%,16.8%,30.4%,2.0,2022-04-01
332,Dillon Tate,BAL,29.7%,72.7%,50.0%,63.6%,87.5%,80.0%,47.1%,59.0%,10.0%,16.4%,26.4%,2.0,2022-04-01
333,Elieser Hernandez,MIA,29.7%,75.1%,52.6%,61.5%,88.7%,81.1%,50.3%,64.0%,9.9%,14.2%,24.1%,2.0,2022-04-01
334,Nick Pivetta,BOS,29.7%,69.9%,46.3%,70.2%,78.9%,75.7%,41.5%,60.3%,11.3%,15.5%,26.8%,2.0,2022-04-01
335,Luis Garcia,SDP,29.6%,69.2%,49.1%,50.0%,88.9%,76.9%,49.1%,55.6%,11.3%,17.0%,28.3%,2.0,2022-04-01
336,Ryan Pressly,HOU,29.6%,78.6%,46.3%,50.0%,81.8%,68.4%,34.1%,66.7%,14.6%,9.8%,24.4%,2.0,2022-04-01
337,Hansel Robles,BOS,29.6%,74.6%,50.0%,54.2%,86.0%,75.7%,45.3%,60.5%,12.2%,16.2%,28.4%,2.0,2022-04-01
338,Sam Selman,OAK,29.6%,63.2%,43.5%,37.5%,75.0%,60.0%,41.3%,60.0%,17.4%,21.7%,39.1%,2.0,2022-04-01
339,David Peterson,NYM,29.6%,59.0%,40.9%,56.8%,89.1%,74.7%,38.4%,39.6%,10.3%,18.2%,28.6%,2.0,2022-04-01
340,Garrett Richards,TEX,29.6%,64.8%,42.1%,62.1%,82.9%,73.4%,35.5%,59.5%,11.2%,18.4%,29.6%,2.0,2022-04-01
341,Jimmy Herget,LAA,29.6%,66.7%,46.7%,58.6%,87.5%,77.6%,46.2%,58.3%,10.4%,20.8%,31.1%,2.0,2022-04-01
342,Hunter Greene,CIN,29.6%,66.4%,44.7%,58.6%,75.8%,69.1%,41.1%,63.5%,13.8%,15.6%,29.4%,2.0,2022-04-01
343,Josh Rogers,WSN,29.6%,73.3%,48.2%,76.2%,93.5%,87.4%,42.5%,63.8%,6.1%,15.8%,21.9%,2.0,2022-04-01
344,Jhoulys Chacin,COL,29.5%,67.2%,43.8%,58.1%,86.0%,74.3%,37.9%,48.9%,11.2%,16.0%,27.2%,2.0,2022-04-01
